graph_id,n,h,init,dynamics,beta,step,log_Z
n16_graph0,16,0.0,ground,glauber,1.4,36543,34.388686
n16_graph0,16,0.0,ground,glauber,1.4,60268,34.362799
n16_graph0,16,0.0,ground,glauber,1.4,99395,34.336473
n16_graph0,16,0.0,ground,glauber,1.4,163925,34.331082
n16_graph0,16,0.0,ground,glauber,1.4,270347,34.316646
n16_graph0,16,0.0,ground,glauber,1.4,445860,34.320623
n16_graph0,16,0.0,ground,glauber,1.4,735319,34.324851
n16_graph0,16,0.0,ground,glauber,1.4,1212699,34.304950
n16_graph0,16,0.0,ground,glauber,1.4,2000000,34.300888
n16_graph0,16,0.0,ground,glauber,1.5,1,35.490355
n16_graph0,16,0.0,ground,glauber,1.5,2,35.500338
n16_graph0,16,0.0,ground,glauber,1.5,4,35.569832
n16_graph0,16,0.0,ground,glauber,1.5,7,36.272720
n16_graph0,16,0.0,ground,glauber,1.5,12,36.506043
n16_graph0,16,0.0,ground,glauber,1.5,20,35.795595
n16_graph0,16,0.0,ground,glauber,1.5,33,36.076801
n16_graph0,16,0.0,ground,glauber,1.5,54,36.241840
n16_graph0,16,0.0,ground,glauber,1.5,90,35.604329
n16_graph0,16,0.0,ground,glauber,1.5,148,35.848873
n16_graph0,16,0.0,ground,glauber,1.5,245,36.036198
n16_graph0,16,0.0,ground,glauber,1.5,404,36.605344
n16_graph0,16,0.0,ground,glauber,1.5,667,36.650687
n16_graph0,16,0.0,ground,glauber,1.5,1101,36.831725
n16_graph0,16,0.0,ground,glauber,1.5,1816,36.734394
n16_graph0,16,0.0,ground,glauber,1.5,2995,36.794163
n16_graph0,16,0.0,ground,glauber,1.5,4939,36.770772
n16_graph0,16,0.0,ground,glauber,1.5,8146,36.701723
n16_graph0,16,0.0,ground,glauber,1.5,13435,36.674558
n16_graph0,16,0.0,ground,glauber,1.5,22158,36.644315
n16_graph0,16,0.0,ground,glauber,1.5,36543,36.785890
n16_graph0,16,0.0,ground,glauber,1.5,60268,36.760849
n16_graph0,16,0.0,ground,glauber,1.5,99395,36.733217
n16_graph0,16,0.0,ground,glauber,1.5,163925,36.728432
n16_graph0,16,0.0,ground,glauber,1.5,270347,36.714316
n16_graph0,16,0.0,ground,glauber,1.5,445860,36.718230
n16_graph0,16,0.0,ground,glauber,1.5,735319,36.722718
n16_graph0,16,0.0,ground,glauber,1.5,1212699,36.702736
n16_graph0,16,0.0,ground,glauber,1.5,2000000,36.698759
