graph_id,n,h,beta,init,dynamics,step,running_mean_E
n16_graph0,16,0.0,0.5,ground,metropolis,62,-16.1613
n16_graph0,16,0.0,0.5,ground,metropolis,69,-16.3478
n16_graph0,16,0.0,0.5,ground,metropolis,76,-16.5
n16_graph0,16,0.0,0.5,ground,metropolis,85,-16.0941
n16_graph0,16,0.0,0.5,ground,metropolis,95,-16.8632
n16_graph0,16,0.0,0.5,ground,metropolis,106,-17.6038
n16_graph0,16,0.0,0.5,ground,metropolis,118,-18.2542
n16_graph0,16,0.0,0.5,ground,metropolis,131,-18.8244
n16_graph0,16,0.0,0.5,ground,metropolis,146,-19.3562
n16_graph0,16,0.0,0.5,ground,metropolis,163,-19.8405
n16_graph0,16,0.0,0.5,ground,metropolis,182,-19.5495
n16_graph0,16,0.0,0.5,ground,metropolis,203,-19.803
n16_graph0,16,0.0,0.5,ground,metropolis,226,-19.3982
n16_graph0,16,0.0,0.5,ground,metropolis,252,-18.746
n16_graph0,16,0.0,0.5,ground,metropolis,281,-17.7082
n16_graph0,16,0.0,0.5,ground,metropolis,313,-16.4409
n16_graph0,16,0.0,0.5,ground,metropolis,348,-15.2759
n16_graph0,16,0.0,0.5,ground,metropolis,388,-14.2165
n16_graph0,16,0.0,0.5,ground,metropolis,433,-14.1755
n16_graph0,16,0.0,0.5,ground,metropolis,482,-14.3527
n16_graph0,16,0.0,0.5,ground,metropolis,538,-15.0186
n16_graph0,16,0.0,0.5,ground,metropolis,599,-15.0851
n16_graph0,16,0.0,0.5,ground,metropolis,668,-15.018
n16_graph0,16,0.0,0.5,ground,metropolis,744,-14.6237
n16_graph0,16,0.0,0.5,ground,metropolis,829,-14.9867
n16_graph0,16,0.0,0.5,ground,metropolis,924,-15.7056
n16_graph0,16,0.0,0.5,ground,metropolis,1030,-15.5864
n16_graph0,16,0.0,0.5,ground,metropolis,1148,-14.953
n16_graph0,16,0.0,0.5,ground,metropolis,1279,-14.4988
n16_graph0,16,0.0,0.5,ground,metropolis,1426,-14.46
n16_graph0,16,0.0,0.5,ground,metropolis,1589,-15.1038
n16_graph0,16,0.0,0.5,ground,metropolis,1771,-14.7499
n16_graph0,16,0.0,0.5,ground,metropolis,1974,-14.6697
n16_graph0,16,0.0,0.5,ground,metropolis,2200,-14.0082
n16_graph0,16,0.0,0.5,ground,metropolis,2452,-14.0245
n16_graph0,16,0.0,0.5,ground,metropolis,2732,-14.0344
n16_graph0,16,0.0,0.5,ground,metropolis,3045,-14.4479
n16_graph0,16,0.0,0.5,ground,metropolis,3394,-14.7254
n16_graph0,16,0.0,0.5,ground,metropolis,3783,-14.4885
n16_graph0,16,0.0,0.5,ground,metropolis,4216,-14.0152
n16_graph0,16,0.0,0.5,ground,metropolis,4698,-14.2077
n16_graph0,16,0.0,0.5,ground,metropolis,5236,-14.3125
n16_graph0,16,0.0,0.5,ground,metropolis,5836,-14.1491
n16_graph0,16,0.0,0.5,ground,metropolis,6504,-14.1196
n16_graph0,16,0.0,0.5,ground,metropolis,7248,-14.0916
n16_graph0,16,0.0,0.5,ground,metropolis,8078,-13.8938
n16_graph0,16,0.0,0.5,ground,metropolis,9003,-13.8278
n16_graph0,16,0.0,0.5,ground,metropolis,10034,-13.8926
n16_graph0,16,0.0,0.5,ground,metropolis,11183,-13.723
n16_graph0,16,0.0,0.5,ground,metropolis,12463,-13.9026
n16_graph0,16,0.0,0.5,ground,metropolis,13890,-13.7381
n16_graph0,16,0.0,0.5,ground,metropolis,15480,-13.8704
n16_graph0,16,0.0,0.5,ground,metropolis,17253,-13.9958
n16_graph0,16,0.0,0.5,ground,metropolis,19228,-13.9647
n16_graph0,16,0.0,0.5,ground,metropolis,21429,-14.0425
n16_graph0,16,0.0,0.5,ground,metropolis,23883,-14.2092
n16_graph0,16,0.0,0.5,ground,metropolis,26617,-14.1818
n16_graph0,16,0.0,0.5,ground,metropolis,29664,-14.3014
n16_graph0,16,0.0,0.5,ground,metropolis,33060,-14.1922
n16_graph0,16,0.0,0.5,ground,metropolis,36846,-14.3151
n16_graph0,16,0.0,0.5,ground,metropolis,41064,-14.3419
n16_graph0,16,0.0,0.5,ground,metropolis,45765,-14.3469
n16_graph0,16,0.0,0.5,ground,metropolis,51005,-14.3353
n16_graph0,16,0.0,0.5,ground,metropolis,56845,-14.3323
n16_graph0,16,0.0,0.5,ground,metropolis,63353,-14.3284
n16_graph0,16,0.0,0.5,ground,metropolis,70606,-14.3301
n16_graph0,16,0.0,0.5,ground,metropolis,78690,-14.2805
