graph_id,n,h,beta,step,log_Z_running
n16_graph0,16,0.0,1.3,26103,41.242093
n16_graph0,16,0.0,1.3,32124,40.704954
n16_graph0,16,0.0,1.3,39534,40.696925
n16_graph0,16,0.0,1.3,48653,40.125836
n16_graph0,16,0.0,1.3,59875,39.529150
n16_graph0,16,0.0,1.3,73685,38.951536
n16_graph0,16,0.0,1.3,90681,38.325089
n16_graph0,16,0.0,1.3,111597,36.970333
n16_graph0,16,0.0,1.3,137338,35.536875
n16_graph0,16,0.0,1.3,169016,33.873692
n16_graph0,16,0.0,1.3,208000,31.759054
n16_graph0,16,0.0,1.8,1,54.290355
n16_graph0,16,0.0,1.8,2,54.290355
n16_graph0,16,0.0,1.8,3,54.290355
n16_graph0,16,0.0,1.8,4,54.290355
n16_graph0,16,0.0,1.8,5,54.290355
n16_graph0,16,0.0,1.8,6,54.290355
n16_graph0,16,0.0,1.8,8,54.290355
n16_graph0,16,0.0,1.8,10,54.290355
n16_graph0,16,0.0,1.8,12,54.290355
n16_graph0,16,0.0,1.8,15,54.290355
n16_graph0,16,0.0,1.8,18,54.290355
n16_graph0,16,0.0,1.8,22,54.290355
n16_graph0,16,0.0,1.8,28,54.290355
n16_graph0,16,0.0,1.8,34,54.290355
n16_graph0,16,0.0,1.8,42,54.290355
n16_graph0,16,0.0,1.8,52,54.290355
n16_graph0,16,0.0,1.8,63,54.290355
n16_graph0,16,0.0,1.8,78,54.290355
n16_graph0,16,0.0,1.8,96,54.290355
n16_graph0,16,0.0,1.8,118,54.290355
n16_graph0,16,0.0,1.8,146,54.290355
n16_graph0,16,0.0,1.8,179,54.290355
n16_graph0,16,0.0,1.8,221,54.290355
n16_graph0,16,0.0,1.8,271,54.290355
n16_graph0,16,0.0,1.8,334,54.290355
n16_graph0,16,0.0,1.8,411,54.290355
n16_graph0,16,0.0,1.8,506,54.290355
n16_graph0,16,0.0,1.8,623,54.290355
n16_graph0,16,0.0,1.8,766,54.290355
n16_graph0,16,0.0,1.8,943,54.290355
n16_graph0,16,0.0,1.8,1161,54.290355
n16_graph0,16,0.0,1.8,1428,54.290355
n16_graph0,16,0.0,1.8,1758,54.290355
n16_graph0,16,0.0,1.8,2163,54.290355
n16_graph0,16,0.0,1.8,2662,54.290355
n16_graph0,16,0.0,1.8,3276,53.816162
n16_graph0,16,0.0,1.8,4032,53.785111
n16_graph0,16,0.0,1.8,4961,53.791312
n16_graph0,16,0.0,1.8,6106,53.787272
n16_graph0,16,0.0,1.8,7514,53.789160
n16_graph0,16,0.0,1.8,9247,53.791861
n16_graph0,16,0.0,1.8,11380,53.786390
n16_graph0,16,0.0,1.8,14005,53.787150
n16_graph0,16,0.0,1.8,17235,53.273653
n16_graph0,16,0.0,1.8,21211,53.259619
n16_graph0,16,0.0,1.8,26103,53.268702
n16_graph0,16,0.0,1.8,32124,52.739056
n16_graph0,16,0.0,1.8,39534,52.735690
n16_graph0,16,0.0,1.8,48653,52.171359
n16_graph0,16,0.0,1.8,59875,51.587473
n16_graph0,16,0.0,1.8,73685,51.015784
n16_graph0,16,0.0,1.8,90681,50.373333
n16_graph0,16,0.0,1.8,111597,49.030878
n16_graph0,16,0.0,1.8,137338,47.540944
n16_graph0,16,0.0,1.8,169016,45.945615
n16_graph0,16,0.0,1.8,208000,44.152435
n16_graph0,16,0.0,2.5,1,71.090355
n16_graph0,16,0.0,2.5,2,71.090355
n16_graph0,16,0.0,2.5,3,71.090355
n16_graph0,16,0.0,2.5,4,71.090355
n16_graph0,16,0.0,2.5,5,71.090355
n16_graph0,16,0.0,2.5,6,71.090355
n16_graph0,16,0.0,2.5,8,71.090355
n16_graph0,16,0.0,2.5,10,71.090355
n16_graph0,16,0.0,2.5,12,71.090355
n16_graph0,16,0.0,2.5,15,71.090355
n16_graph0,16,0.0,2.5,18,71.090355
n16_graph0,16,0.0,2.5,22,71.090355
n16_graph0,16,0.0,2.5,28,71.090355
n16_graph0,16,0.0,2.5,34,71.090355
n16_graph0,16,0.0,2.5,42,71.090355
n16_graph0,16,0.0,2.5,52,71.090355
n16_graph0,16,0.0,2.5,63,71.090355
n16_graph0,16,0.0,2.5,78,71.090355
n16_graph0,16,0.0,2.5,96,71.090355
n16_graph0,16,0.0,2.5,118,71.090355
n16_graph0,16,0.0,2.5,146,71.090355
n16_graph0,16,0.0,2.5,179,71.090355
n16_graph0,16,0.0,2.5,221,71.090355
n16_graph0,16,0.0,2.5,271,71.090355
n16_graph0,16,0.0,2.5,334,71.090355
n16_graph0,16,0.0,2.5,411,71.090355
n16_graph0,16,0.0,2.5,506,71.090355
n16_graph0,16,0.0,2.5,623,71.090355
n16_graph0,16,0.0,2.5,766,71.090355
n16_graph0,16,0.0,2.5,943,71.090355
n16_graph0,16,0.0,2.5,1161,71.090355
n16_graph0,16,0.0,2.5,1428,71.090355
n16_graph0,16,0.0,2.5,1758,71.090355
n16_graph0,16,0.0,2.5,2163,71.090355
n16_graph0,16,0.0,2.5,2662,71.090355
n16_graph0,16,0.0,2.5,3276,70.576055
