graph_id,n,h,beta,step_n_mult,samples_per_segment,n_segments,burnin,total_steps,log_Z,runtime_s
n16_graph0,16,0.1,1.0,1,1000,15,3000,60000,25.464052,0.0488
n16_graph0,16,0.1,1.0,1,3000,15,3000,90000,25.586040,0.0750
n16_graph0,16,0.1,1.0,1,10000,15,3000,195000,25.628743,0.2005
n16_graph0,16,0.1,1.0,4,100,58,3000,179800,25.725599,0.1632
n16_graph0,16,0.1,1.0,4,300,58,3000,191400,25.446644,0.1843
n16_graph0,16,0.1,1.0,4,1000,58,3000,232000,25.604678,0.2473
n16_graph0,16,0.1,1.0,4,3000,58,3000,348000,25.681006,0.3452
n16_graph0,16,0.1,1.0,4,10000,58,3000,754000,25.668547,0.7508
n16_graph0,16,0.1,1.0,20,100,289,3000,895900,25.482606,0.9405
n16_graph0,16,0.1,1.0,20,300,289,3000,953700,25.738387,0.9108
n16_graph0,16,0.1,1.0,20,1000,289,3000,1156000,25.642879,1.1251
n16_graph0,16,0.1,1.0,20,3000,289,3000,1734000,25.727755,1.7832
n16_graph0,16,0.1,1.0,20,10000,289,3000,3757000,25.655043,4.1788
n16_graph0,16,0.1,1.3,1,100,14,3000,43400,32.799328,0.0532
n16_graph0,16,0.1,1.3,1,300,14,3000,46200,33.183239,0.0509
n16_graph0,16,0.1,1.3,1,1000,14,3000,56000,32.764199,0.0598
n16_graph0,16,0.1,1.3,1,3000,14,3000,84000,33.044490,0.0926
n16_graph0,16,0.1,1.3,1,10000,14,3000,182000,33.298250,0.1790
n16_graph0,16,0.1,1.3,4,100,56,3000,173600,32.731492,0.1587
n16_graph0,16,0.1,1.3,4,300,56,3000,184800,33.261020,0.1512
n16_graph0,16,0.1,1.3,4,1000,56,3000,224000,33.220662,0.2108
n16_graph0,16,0.1,1.3,4,3000,56,3000,336000,33.336860,0.3663
n16_graph0,16,0.1,1.3,4,10000,56,3000,728000,33.313731,0.7501
n16_graph0,16,0.1,1.3,20,100,279,3000,864900,33.269712,0.8170
n16_graph0,16,0.1,1.3,20,300,279,3000,920700,33.376232,0.8236
n16_graph0,16,0.1,1.3,20,1000,279,3000,1116000,33.319606,1.0773
n16_graph0,16,0.1,1.3,20,3000,279,3000,1674000,33.247321,1.7942
n16_graph0,16,0.1,1.3,20,10000,279,3000,3627000,33.316811,4.2560
n16_graph0,16,0.1,1.8,1,100,14,3000,43400,46.591683,0.0376
n16_graph0,16,0.1,1.8,1,300,14,3000,46200,45.349605,0.0491
n16_graph0,16,0.1,1.8,1,1000,14,3000,56000,45.922329,0.0582
n16_graph0,16,0.1,1.8,1,3000,14,3000,84000,46.158446,0.0965
